21-May-20 23:15:49 - Verifier time taken is: 0.4459999999824049 ms
21-May-20 23:15:49 - Prover time taken is: 1.6146000000105687 ms
21-May-20 23:15:49 - Total time taken is: 2.0605999999929736 ms
21-May-20 23:15:51 - Verifier time taken is: 0.7261000000085005 ms
21-May-20 23:15:51 - Prover time taken is: 1.7092999999874792 ms
21-May-20 23:15:51 - Total time taken is: 2.4353999999959797 ms
21-May-20 23:15:53 - Verifier time taken is: 0.7133999999950902 ms
21-May-20 23:15:53 - Prover time taken is: 1.9114000000115539 ms
21-May-20 23:15:53 - Total time taken is: 2.624800000006644 ms
21-May-20 23:15:55 - Verifier time taken is: 0.8757999999886579 ms
21-May-20 23:15:55 - Prover time taken is: 1.6198999999801345 ms
21-May-20 23:15:55 - Total time taken is: 2.4956999999687923 ms
21-May-20 23:15:57 - Verifier time taken is: 0.7168000000206121 ms
21-May-20 23:15:57 - Prover time taken is: 1.6277000000002317 ms
21-May-20 23:15:57 - Total time taken is: 2.344500000020844 ms
21-May-20 23:15:59 - Verifier time taken is: 0.43510000000424043 ms
21-May-20 23:15:59 - Prover time taken is: 1.8204999999795746 ms
21-May-20 23:15:59 - Total time taken is: 2.255599999983815 ms
21-May-20 23:16:01 - Verifier time taken is: 0.46370000001161316 ms
21-May-20 23:16:01 - Prover time taken is: 1.5157999999928506 ms
21-May-20 23:16:01 - Total time taken is: 1.9795000000044638 ms
21-May-20 23:16:03 - Verifier time taken is: 0.7151000000078511 ms
21-May-20 23:16:03 - Prover time taken is: 1.64179999998737 ms
21-May-20 23:16:03 - Total time taken is: 2.356899999995221 ms
21-May-20 23:16:05 - Verifier time taken is: 0.7075000000043019 ms
21-May-20 23:16:05 - Prover time taken is: 2.648600000014767 ms
21-May-20 23:16:05 - Total time taken is: 3.356100000019069 ms
21-May-20 23:16:07 - Verifier time taken is: 0.9417999999925541 ms
21-May-20 23:16:07 - Prover time taken is: 1.6899000000023534 ms
21-May-20 23:16:07 - Total time taken is: 2.6316999999949076 ms
21-May-20 23:16:09 - Verifier time taken is: 0.6983000000104767 ms
21-May-20 23:16:09 - Prover time taken is: 2.441700000019864 ms
21-May-20 23:16:09 - Total time taken is: 3.1400000000303407 ms
21-May-20 23:16:11 - Verifier time taken is: 0.42980000000625296 ms
21-May-20 23:16:11 - Prover time taken is: 1.8602000000100816 ms
21-May-20 23:16:11 - Total time taken is: 2.2900000000163345 ms
21-May-20 23:16:13 - Verifier time taken is: 0.6525999999951182 ms
21-May-20 23:16:13 - Prover time taken is: 2.386299999983521 ms
21-May-20 23:16:13 - Total time taken is: 3.0388999999786392 ms
21-May-20 23:16:15 - Verifier time taken is: 0.5376000000012482 ms
21-May-20 23:16:15 - Prover time taken is: 2.2218000000009397 ms
21-May-20 23:16:15 - Total time taken is: 2.759400000002188 ms
21-May-20 23:16:17 - Verifier time taken is: 0.49369999999271386 ms
21-May-20 23:16:17 - Prover time taken is: 1.7162999999982276 ms
21-May-20 23:16:17 - Total time taken is: 2.2099999999909414 ms
21-May-20 23:16:19 - Verifier time taken is: 0.748499999986052 ms
21-May-20 23:16:19 - Prover time taken is: 1.891100000023016 ms
21-May-20 23:16:19 - Total time taken is: 2.639600000009068 ms
21-May-20 23:16:21 - Verifier time taken is: 0.9026000000176282 ms
21-May-20 23:16:21 - Prover time taken is: 1.9846999999799664 ms
21-May-20 23:16:21 - Total time taken is: 2.8872999999975946 ms
21-May-20 23:16:23 - Verifier time taken is: 0.695199999995566 ms
21-May-20 23:16:23 - Prover time taken is: 1.8759000000159176 ms
21-May-20 23:16:23 - Total time taken is: 2.5711000000114836 ms
21-May-20 23:16:25 - Verifier time taken is: 0.628299999959836 ms
21-May-20 23:16:25 - Prover time taken is: 1.6385000000127548 ms
21-May-20 23:16:25 - Total time taken is: 2.2667999999725907 ms
21-May-20 23:16:27 - Verifier time taken is: 0.5653000000052089 ms
21-May-20 23:16:27 - Prover time taken is: 1.8118000000413303 ms
21-May-20 23:16:27 - Total time taken is: 2.377100000046539 ms
21-May-20 23:16:29 - Verifier time taken is: 0.6297000000472508 ms
21-May-20 23:16:29 - Prover time taken is: 1.6597000000047046 ms
21-May-20 23:16:29 - Total time taken is: 2.2894000000519554 ms
21-May-20 23:16:31 - Verifier time taken is: 0.5345999999804008 ms
